"CountryName";"CountryCode";"Year";"Value"
"Albania";"ALB";"1971";"0.00"
"Albania";"ALB";"1972";"0.00"
"Albania";"ALB";"1973";"0.00"
"Albania";"ALB";"1974";"0.00"
"Albania";"ALB";"1975";"0.00"
"Albania";"ALB";"1976";"0.00"
"Albania";"ALB";"1977";"0.00"
"Albania";"ALB";"1978";"0.00"
"Albania";"ALB";"1979";"0.00"
"Albania";"ALB";"1980";"0.00"
"Albania";"ALB";"1981";"0.00"
"Albania";"ALB";"1982";"0.00"
"Albania";"ALB";"1983";"0.00"
"Albania";"ALB";"1984";"0.00"
"Albania";"ALB";"1985";"0.00"
"Albania";"ALB";"1986";"0.00"
"Albania";"ALB";"1987";"0.00"
"Albania";"ALB";"1988";"0.00"
"Albania";"ALB";"1989";"0.00"
"Albania";"ALB";"1990";"0.00"
"Albania";"ALB";"1991";"0.00"
"Albania";"ALB";"1992";"0.00"
"Albania";"ALB";"1993";"0.00"
"Albania";"ALB";"1994";"0.00"
"Albania";"ALB";"1995";"0.00"
"Albania";"ALB";"1996";"0.00"
"Albania";"ALB";"1997";"0.00"
"Albania";"ALB";"1998";"0.00"
"Albania";"ALB";"1999";"0.00"
"Albania";"ALB";"2000";"0.00"
"Albania";"ALB";"2001";"0.00"
"Albania";"ALB";"2002";"0.00"
"Albania";"ALB";"2003";"0.00"
"Albania";"ALB";"2004";"0.00"
"Albania";"ALB";"2005";"0.00"
"Albania";"ALB";"2006";"0.00"
"Albania";"ALB";"2007";"0.00"
"Albania";"ALB";"2008";"0.00"
"Albania";"ALB";"2009";"0.00"
"Albania";"ALB";"2010";"0.00"
"Albania";"ALB";"2011";"0.00"
"Albania";"ALB";"2012";"0.00"
"Algeria";"DZA";"1971";"0.00"
"Algeria";"DZA";"1972";"0.00"
"Algeria";"DZA";"1973";"0.00"
"Algeria";"DZA";"1974";"0.00"
"Algeria";"DZA";"1975";"0.00"
"Algeria";"DZA";"1976";"0.00"
"Algeria";"DZA";"1977";"0.00"
"Algeria";"DZA";"1978";"0.00"
"Algeria";"DZA";"1979";"0.00"
"Algeria";"DZA";"1980";"0.00"
"Algeria";"DZA";"1981";"0.00"
"Algeria";"DZA";"1982";"0.00"
"Algeria";"DZA";"1983";"0.00"
"Algeria";"DZA";"1984";"0.00"
"Algeria";"DZA";"1985";"0.00"
"Algeria";"DZA";"1986";"0.00"
"Algeria";"DZA";"1987";"0.00"
"Algeria";"DZA";"1988";"0.00"
"Algeria";"DZA";"1989";"0.00"
"Algeria";"DZA";"1990";"0.00"
"Algeria";"DZA";"1991";"0.00"
"Algeria";"DZA";"1992";"0.00"
"Algeria";"DZA";"1993";"0.00"
"Algeria";"DZA";"1994";"0.00"
"Algeria";"DZA";"1995";"0.00"
"Algeria";"DZA";"1996";"0.00"
"Algeria";"DZA";"1997";"0.00"
"Algeria";"DZA";"1998";"0.00"
"Algeria";"DZA";"1999";"0.00"
"Algeria";"DZA";"2000";"0.00"
"Algeria";"DZA";"2001";"0.00"
"Algeria";"DZA";"2002";"0.00"
"Algeria";"DZA";"2003";"0.00"
"Algeria";"DZA";"2004";"0.00"
"Algeria";"DZA";"2005";"0.00"
"Algeria";"DZA";"2006";"0.00"
"Algeria";"DZA";"2007";"0.00"
"Algeria";"DZA";"2008";"0.00"
"Algeria";"DZA";"2009";"0.00"
"Algeria";"DZA";"2010";"0.00"
"Algeria";"DZA";"2011";"0.00"
"Algeria";"DZA";"2012";"0.00"
"Angola";"AGO";"1971";"0.00"
"Angola";"AGO";"1972";"0.00"
"Angola";"AGO";"1973";"0.00"
"Angola";"AGO";"1974";"0.00"
"Angola";"AGO";"1975";"0.00"
"Angola";"AGO";"1976";"0.00"
"Angola";"AGO";"1977";"0.00"
"Angola";"AGO";"1978";"0.00"
"Angola";"AGO";"1979";"0.00"
"Angola";"AGO";"1980";"0.00"
"Angola";"AGO";"1981";"0.00"
"Angola";"AGO";"1982";"0.00"
"Angola";"AGO";"1983";"0.00"
"Angola";"AGO";"1984";"0.00"
"Angola";"AGO";"1985";"0.00"
"Angola";"AGO";"1986";"0.00"
"Angola";"AGO";"1987";"0.00"
"Angola";"AGO";"1988";"0.00"
"Angola";"AGO";"1989";"0.00"
"Angola";"AGO";"1990";"0.00"
"Angola";"AGO";"1991";"0.00"
"Angola";"AGO";"1992";"0.00"
"Angola";"AGO";"1993";"0.00"
"Angola";"AGO";"1994";"0.00"
"Angola";"AGO";"1995";"0.00"
"Angola";"AGO";"1996";"0.00"
"Angola";"AGO";"1997";"0.00"
"Angola";"AGO";"1998";"0.00"
"Angola";"AGO";"1999";"0.00"
"Angola";"AGO";"2000";"0.00"
"Angola";"AGO";"2001";"0.00"
"Angola";"AGO";"2002";"0.00"
"Angola";"AGO";"2003";"0.00"
"Angola";"AGO";"2004";"0.00"
"Angola";"AGO";"2005";"0.00"
"Angola";"AGO";"2006";"0.00"
"Angola";"AGO";"2007";"0.00"
"Angola";"AGO";"2008";"0.00"
"Angola";"AGO";"2009";"0.00"
"Angola";"AGO";"2010";"0.00"
"Angola";"AGO";"2011";"0.00"
"Angola";"AGO";"2012";"0.00"
"Arab World";"ARB";"1971";"0.00"
"Arab World";"ARB";"1972";"0.00"
"Arab World";"ARB";"1973";"0.00"
"Arab World";"ARB";"1974";"0.00"
"Arab World";"ARB";"1975";"0.00"
"Arab World";"ARB";"1976";"0.00"
"Arab World";"ARB";"1977";"0.00"
"Arab World";"ARB";"1978";"0.00"
"Arab World";"ARB";"1979";"0.00"
"Arab World";"ARB";"1980";"0.00"
"Arab World";"ARB";"1981";"0.00"
"Arab World";"ARB";"1982";"0.00"
"Arab World";"ARB";"1983";"0.00"
"Arab World";"ARB";"1984";"0.00"
"Arab World";"ARB";"1985";"0.00"
"Arab World";"ARB";"1986";"0.00"
"Arab World";"ARB";"1987";"0.00"
"Arab World";"ARB";"1988";"0.00"
"Arab World";"ARB";"1989";"0.00"
"Arab World";"ARB";"1990";"0.00"
"Arab World";"ARB";"1991";"0.00"
"Arab World";"ARB";"1992";"0.00"
"Arab World";"ARB";"1993";"0.00"
"Arab World";"ARB";"1994";"0.00"
"Arab World";"ARB";"1995";"0.00"
"Arab World";"ARB";"1996";"0.00"
"Arab World";"ARB";"1997";"0.00"
"Arab World";"ARB";"1998";"0.00"
"Arab World";"ARB";"1999";"0.00"
"Arab World";"ARB";"2000";"0.00"
"Arab World";"ARB";"2001";"0.00"
"Arab World";"ARB";"2002";"0.00"
"Arab World";"ARB";"2003";"0.00"
"Arab World";"ARB";"2004";"0.00"
"Arab World";"ARB";"2005";"0.00"
"Arab World";"ARB";"2006";"0.00"
"Arab World";"ARB";"2007";"0.00"
"Arab World";"ARB";"2008";"0.00"
"Arab World";"ARB";"2009";"0.00"
"Arab World";"ARB";"2010";"0.00"
"Arab World";"ARB";"2011";"0.00"
"Arab World";"ARB";"2012";"0.00"
"Argentina";"ARG";"1971";"0.00"
"Argentina";"ARG";"1972";"0.00"
"Argentina";"ARG";"1973";"0.00"
"Argentina";"ARG";"1974";"3.71"
"Argentina";"ARG";"1975";"8.58"
"Argentina";"ARG";"1976";"8.51"
"Argentina";"ARG";"1977";"5.05"
"Argentina";"ARG";"1978";"8.66"
"Argentina";"ARG";"1979";"7.15"
"Argentina";"ARG";"1980";"5.89"
"Argentina";"ARG";"1981";"7.25"
"Argentina";"ARG";"1982";"4.69"
"Argentina";"ARG";"1983";"7.92"
"Argentina";"ARG";"1984";"10.32"
"Argentina";"ARG";"1985";"12.74"
"Argentina";"ARG";"1986";"11.65"
"Argentina";"ARG";"1987";"12.42"
"Argentina";"ARG";"1988";"11.10"
"Argentina";"ARG";"1989";"9.98"
"Argentina";"ARG";"1990";"14.35"
"Argentina";"ARG";"1991";"14.46"
"Argentina";"ARG";"1992";"12.67"
"Argentina";"ARG";"1993";"12.59"
"Argentina";"ARG";"1994";"12.77"
"Argentina";"ARG";"1995";"10.54"
"Argentina";"ARG";"1996";"10.70"
"Argentina";"ARG";"1997";"11.01"
"Argentina";"ARG";"1998";"10.07"
"Argentina";"ARG";"1999";"8.83"
"Argentina";"ARG";"2000";"6.95"
"Argentina";"ARG";"2001";"7.83"
"Argentina";"ARG";"2002";"6.89"
"Argentina";"ARG";"2003";"8.22"
"Argentina";"ARG";"2004";"7.86"
"Argentina";"ARG";"2005";"6.52"
"Argentina";"ARG";"2006";"7.20"
"Argentina";"ARG";"2007";"6.72"
"Argentina";"ARG";"2008";"6.03"
"Argentina";"ARG";"2009";"6.69"
"Argentina";"ARG";"2010";"5.72"
"Argentina";"ARG";"2011";"4.92"
"Argentina";"ARG";"2012";"4.74"
"Armenia";"ARM";"1990";"0.00"
"Armenia";"ARM";"1991";"0.00"
"Armenia";"ARM";"1992";"0.00"
"Armenia";"ARM";"1993";"0.00"
"Armenia";"ARM";"1994";"0.00"
"Armenia";"ARM";"1995";"5.47"
"Armenia";"ARM";"1996";"37.40"
"Armenia";"ARM";"1997";"26.65"
"Armenia";"ARM";"1998";"25.67"
"Armenia";"ARM";"1999";"36.35"
"Armenia";"ARM";"2000";"33.65"
"Armenia";"ARM";"2001";"34.59"
"Armenia";"ARM";"2002";"41.35"
"Armenia";"ARM";"2003";"36.32"
"Armenia";"ARM";"2004";"36.50"
"Armenia";"ARM";"2005";"43.00"
"Armenia";"ARM";"2006";"44.44"
"Armenia";"ARM";"2007";"43.29"
"Armenia";"ARM";"2008";"42.65"
"Armenia";"ARM";"2009";"43.98"
"Armenia";"ARM";"2010";"38.36"
"Armenia";"ARM";"2011";"34.28"
"Armenia";"ARM";"2012";"28.76"
"Australia";"AUS";"1960";"0.00"
"Australia";"AUS";"1961";"0.00"
"Australia";"AUS";"1962";"0.00"
"Australia";"AUS";"1963";"0.00"
"Australia";"AUS";"1964";"0.00"
"Australia";"AUS";"1965";"0.00"
"Australia";"AUS";"1966";"0.00"
"Australia";"AUS";"1967";"0.00"
"Australia";"AUS";"1968";"0.00"
"Australia";"AUS";"1969";"0.00"
"Australia";"AUS";"1970";"0.00"
"Australia";"AUS";"1971";"0.00"
"Australia";"AUS";"1972";"0.00"
"Australia";"AUS";"1973";"0.00"
"Australia";"AUS";"1974";"0.00"
"Australia";"AUS";"1975";"0.00"
"Australia";"AUS";"1976";"0.00"
"Australia";"AUS";"1977";"0.00"
"Australia";"AUS";"1978";"0.00"
"Australia";"AUS";"1979";"0.00"
"Australia";"AUS";"1980";"0.00"
"Australia";"AUS";"1981";"0.00"
"Australia";"AUS";"1982";"0.00"
"Australia";"AUS";"1983";"0.00"
"Australia";"AUS";"1984";"0.00"
"Australia";"AUS";"1985";"0.00"
"Australia";"AUS";"1986";"0.00"
"Australia";"AUS";"1987";"0.00"
"Australia";"AUS";"1988";"0.00"
"Australia";"AUS";"1989";"0.00"
"Australia";"AUS";"1990";"0.00"
"Australia";"AUS";"1991";"0.00"
"Australia";"AUS";"1992";"0.00"
"Australia";"AUS";"1993";"0.00"
"Australia";"AUS";"1994";"0.00"
"Australia";"AUS";"1995";"0.00"
"Australia";"AUS";"1996";"0.00"
"Australia";"AUS";"1997";"0.00"
"Australia";"AUS";"1998";"0.00"
"Australia";"AUS";"1999";"0.00"
"Australia";"AUS";"2000";"0.00"
"Australia";"AUS";"2001";"0.00"
"Australia";"AUS";"2002";"0.00"
"Australia";"AUS";"2003";"0.00"
"Australia";"AUS";"2004";"0.00"
"Australia";"AUS";"2005";"0.00"
"Australia";"AUS";"2006";"0.00"
"Australia";"AUS";"2007";"0.00"
"Australia";"AUS";"2008";"0.00"
"Australia";"AUS";"2009";"0.00"
"Australia";"AUS";"2010";"0.00"
"Australia";"AUS";"2011";"0.00"
"Australia";"AUS";"2012";"0.00"
"Australia";"AUS";"2013";"0.00"
"Austria";"AUT";"1960";"0.00"
"Austria";"AUT";"1961";"0.00"
"Austria";"AUT";"1962";"0.00"
"Austria";"AUT";"1963";"0.00"
"Austria";"AUT";"1964";"0.00"
"Austria";"AUT";"1965";"0.00"
"Austria";"AUT";"1966";"0.00"
"Austria";"AUT";"1967";"0.00"
"Austria";"AUT";"1968";"0.00"
"Austria";"AUT";"1969";"0.00"
"Austria";"AUT";"1970";"0.00"
"Austria";"AUT";"1971";"0.00"
"Austria";"AUT";"1972";"0.00"
"Austria";"AUT";"1973";"0.00"
"Austria";"AUT";"1974";"0.00"
"Austria";"AUT";"1975";"0.00"
"Austria";"AUT";"1976";"0.00"
"Austria";"AUT";"1977";"0.00"
"Austria";"AUT";"1978";"0.00"
"Austria";"AUT";"1979";"0.00"
"Austria";"AUT";"1980";"0.00"
"Austria";"AUT";"1981";"0.00"
"Austria";"AUT";"1982";"0.00"
"Austria";"AUT";"1983";"0.00"
"Austria";"AUT";"1984";"0.00"
"Austria";"AUT";"1985";"0.00"
"Austria";"AUT";"1986";"0.00"
"Austria";"AUT";"1987";"0.00"
"Austria";"AUT";"1988";"0.00"
"Austria";"AUT";"1989";"0.00"
"Austria";"AUT";"1990";"0.00"
"Austria";"AUT";"1991";"0.00"
"Austria";"AUT";"1992";"0.00"
"Austria";"AUT";"1993";"0.00"
"Austria";"AUT";"1994";"0.00"
