"CountryName";"CountryCode";"Year";"Value"
"Albania";"ALB";"1971";"57.14"
"Albania";"ALB";"1972";"62.07"
"Albania";"ALB";"1973";"66.22"
"Albania";"ALB";"1974";"68.42"
"Albania";"ALB";"1975";"71.91"
"Albania";"ALB";"1976";"74.51"
"Albania";"ALB";"1977";"76.52"
"Albania";"ALB";"1978";"77.42"
"Albania";"ALB";"1979";"78.83"
"Albania";"ALB";"1980";"79.41"
"Albania";"ALB";"1981";"81.33"
"Albania";"ALB";"1982";"83.00"
"Albania";"ALB";"1983";"84.66"
"Albania";"ALB";"1984";"73.69"
"Albania";"ALB";"1985";"67.68"
"Albania";"ALB";"1986";"79.53"
"Albania";"ALB";"1987";"76.22"
"Albania";"ALB";"1988";"73.77"
"Albania";"ALB";"1989";"74.65"
"Albania";"ALB";"1990";"89.06"
"Albania";"ALB";"1991";"93.76"
"Albania";"ALB";"1992";"96.10"
"Albania";"ALB";"1993";"95.18"
"Albania";"ALB";"1994";"96.59"
"Albania";"ALB";"1995";"95.24"
"Albania";"ALB";"1996";"96.63"
"Albania";"ALB";"1997";"96.99"
"Albania";"ALB";"1998";"97.10"
"Albania";"ALB";"1999";"97.91"
"Albania";"ALB";"2000";"96.96"
"Albania";"ALB";"2001";"96.29"
"Albania";"ALB";"2002";"95.28"
"Albania";"ALB";"2003";"97.86"
"Albania";"ALB";"2004";"97.50"
"Albania";"ALB";"2005";"98.71"
"Albania";"ALB";"2006";"98.32"
"Albania";"ALB";"2007";"97.48"
"Albania";"ALB";"2008";"100.00"
"Albania";"ALB";"2009";"99.88"
"Albania";"ALB";"2010";"99.83"
"Albania";"ALB";"2011";"99.35"
"Albania";"ALB";"2012";"100.00"
"Algeria";"DZA";"1971";"14.80"
"Algeria";"DZA";"1972";"20.32"
"Algeria";"DZA";"1973";"26.80"
"Algeria";"DZA";"1974";"16.20"
"Algeria";"DZA";"1975";"9.04"
"Algeria";"DZA";"1976";"9.19"
"Algeria";"DZA";"1977";"5.80"
"Algeria";"DZA";"1978";"4.56"
"Algeria";"DZA";"1979";"4.53"
"Algeria";"DZA";"1980";"3.61"
"Algeria";"DZA";"1981";"4.50"
"Algeria";"DZA";"1982";"5.10"
"Algeria";"DZA";"1983";"2.30"
"Algeria";"DZA";"1984";"4.04"
"Algeria";"DZA";"1985";"5.26"
"Algeria";"DZA";"1986";"1.93"
"Algeria";"DZA";"1987";"3.92"
"Algeria";"DZA";"1988";"1.31"
"Algeria";"DZA";"1989";"1.47"
"Algeria";"DZA";"1990";"0.84"
