"CountryName";"CountryCode";"Year";"Value"
"Albania";"ALB";"1971";"42.86"
"Albania";"ALB";"1972";"37.93"
"Albania";"ALB";"1973";"33.78"
"Albania";"ALB";"1974";"31.58"
"Albania";"ALB";"1975";"28.09"
"Albania";"ALB";"1976";"25.49"
"Albania";"ALB";"1977";"23.48"
"Albania";"ALB";"1978";"22.58"
"Albania";"ALB";"1979";"21.17"
"Albania";"ALB";"1980";"20.59"
"Albania";"ALB";"1981";"18.67"
"Albania";"ALB";"1982";"17.00"
"Albania";"ALB";"1983";"15.34"
"Albania";"ALB";"1984";"26.31"
"Albania";"ALB";"1985";"32.32"
"Albania";"ALB";"1986";"20.47"
"Albania";"ALB";"1987";"23.78"
"Albania";"ALB";"1988";"26.23"
"Albania";"ALB";"1989";"25.35"
"Albania";"ALB";"1990";"10.94"
"Albania";"ALB";"1991";"6.24"
"Albania";"ALB";"1992";"3.90"
"Albania";"ALB";"1993";"4.82"
"Albania";"ALB";"1994";"3.41"
"Albania";"ALB";"1995";"4.76"
"Albania";"ALB";"1996";"3.37"
"Albania";"ALB";"1997";"3.01"
"Albania";"ALB";"1998";"2.90"
"Albania";"ALB";"1999";"2.09"
"Albania";"ALB";"2000";"3.04"
"Albania";"ALB";"2001";"3.71"
"Albania";"ALB";"2002";"4.72"
"Albania";"ALB";"2003";"2.14"
"Albania";"ALB";"2004";"2.50"
"Albania";"ALB";"2005";"1.29"
"Albania";"ALB";"2006";"1.68"
"Albania";"ALB";"2007";"2.52"
"Albania";"ALB";"2008";"0.00"
"Albania";"ALB";"2009";"0.12"
"Albania";"ALB";"2010";"0.17"
"Albania";"ALB";"2011";"0.65"
"Albania";"ALB";"2012";"0.00"
"Algeria";"DZA";"1971";"46.34"
"Algeria";"DZA";"1972";"29.15"
"Algeria";"DZA";"1973";"18.25"
"Algeria";"DZA";"1974";"16.69"
"Algeria";"DZA";"1975";"24.96"
"Algeria";"DZA";"1976";"23.07"
"Algeria";"DZA";"1977";"24.03"
"Algeria";"DZA";"1978";"19.38"
"Algeria";"DZA";"1979";"12.32"
"Algeria";"DZA";"1980";"12.24"
